PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_ORGANIZATION_ID,MISC_SCHOOL_NAME,MISC_RANK_MIN,MISC_RANK_FGM,MISC_RANK_FGA,MISC_RANK_FG_PCT,MISC_RANK_FG3M,MISC_RANK_FG3A,MISC_RANK_FG3_PCT,MISC_RANK_FTM,MISC_RANK_FTA,MISC_RANK_FT_PCT,MISC_RANK_OREB,MISC_RANK_DREB,MISC_RANK_REB,MISC_RANK_AST,MISC_RANK_STL,MISC_RANK_BLK,MISC_RANK_TOV,MISC_RANK_PTS,MISC_RANK_EFF,PLAYER_NAME
202688,2011,00,1610612765,DET,20.0,66,60,2129.0,319,769,0.415,105,276,0.38,104,137,0.759,33,178,211,251,49,10,171,154,847,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,23,56,44,96.0,21,21,47.0,113,116,85.0,203,116,153,39,108,249,13,55,110,Brandon Knight
202688,2012,00,1610612765,DET,21.0,75,75,2365.0,357,878,0.407,120,327,0.367,165,225,0.733,54,193,247,303,58,8,205,157,999,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,63,84,59,118.0,45,43,72.0,86,77,97.0,168,152,163,47,128,299,24,76,136,Brandon Knight
202688,2013,00,1610612749,MIL,22.0,72,69,2400.0,461,1092,0.422,110,338,0.325,259,323,0.802,46,209,255,352,69,17,188,146,1291,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,69,39,29,109.0,53,37,88.0,36,44,56.0,196,139,162,33,86,208,32,34,70,Brandon Knight
202688,2014,00,1610612749,MIL,23.0,52,52,1688.0,324,745,0.435,104,254,0.409,171,194,0.881,26,195,221,281,84,9,166,93,923,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,100,63,57,92.0,31,42,21.0,54,74,12.0,265,137,172,29,40,284,23,55,82,Brandon Knight
202688,2014,00,1610612756,PHX,23.0,11,9,347.0,51,143,0.357,21,67,0.313,24,29,0.828,2,21,23,49,6,1,23,21,147,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,100,63,57,92.0,31,42,21.0,54,74,12.0,265,137,172,29,40,284,23,55,82,Brandon Knight
202688,2014,00,0,TOT,23.0,63,61,2035.0,375,888,0.422,125,321,0.389,195,223,0.874,28,216,244,330,90,10,189,114,1070,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,100,63,57,92.0,31,42,21.0,54,74,12.0,265,137,172,29,40,284,23,55,82,Brandon Knight
202688,2015,00,1610612756,PHX,24.0,52,50,1870.0,371,895,0.415,120,351,0.342,156,183,0.852,36,166,202,263,61,20,177,124,1018,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,132,76,61,109.0,44,35,86.0,89,108,24.0,230,209,216,53,110,186,32,73,135,Brandon Knight
202688,2016,00,1610612756,PHX,25.0,54,5,1140.0,209,525,0.398,45,139,0.324,132,154,0.857,25,93,118,130,27,5,88,87,595,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,256,189,163,,192,188,,104,125,26.0,270,311,313,146,275,354,143,171,269,Brandon Knight
202688,2018,00,1610612745,HOU,27.0,12,0,118.0,11,47,0.234,5,32,0.156,9,11,0.818,1,8,9,9,2,0,5,14,36,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,323,312,299,,241,236,,341,357,,389,382,390,273,299,424,333,317,353,Brandon Knight
202688,2018,00,1610612739,CLE,27.0,27,26,618.0,88,213,0.413,36,97,0.371,18,23,0.783,9,41,50,62,19,2,25,48,230,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,323,312,299,,241,236,,341,357,,389,382,390,273,299,424,333,317,353,Brandon Knight
202688,2018,00,0,TOT,27.0,39,26,737.0,99,260,0.381,41,129,0.318,27,34,0.794,10,49,59,71,21,2,30,62,266,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,323,312,299,,241,236,,341,357,,389,382,390,273,299,424,333,317,353,Brandon Knight
202688,2019,00,1610612739,CLE,28.0,16,0,241.0,28,86,0.326,19,64,0.297,4,13,0.308,3,17,20,31,5,2,16,20,79,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,352,360,339,,215,216,,350,328,,437,399,409,242,370,406,279,345,378,Brandon Knight
202688,2019,00,1610612765,DET,28.0,9,3,221.0,31,81,0.383,26,67,0.388,16,21,0.762,1,20,21,38,5,1,22,20,104,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,352,360,339,,215,216,,350,328,,437,399,409,242,370,406,279,345,378,Brandon Knight
202688,2019,00,0,TOT,28.0,25,3,462.0,59,167,0.353,45,131,0.344,20,34,0.588,4,37,41,69,10,3,38,40,183,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,352,360,339,,215,216,,350,328,,437,399,409,242,370,406,279,345,378,Brandon Knight
202688,2021,00,1610612742,DAL,30.0,5,0,65.0,10,25,0.4,4,17,0.235,8,8,1.0,0,8,8,8,1,0,4,5,32,1991-12-02T00:00:00,USA,6-2,182,2011,1,8,,,513,498,499,,433,425,,443,470,,557,509,523,473,507,520,494,488,502,Brandon Knight
