PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN,MISC_RANK_FGM,MISC_RANK_FGA,MISC_RANK_FG_PCT,MISC_RANK_FG3M,MISC_RANK_FG3A,MISC_RANK_FG3_PCT,MISC_RANK_FTM,MISC_RANK_FTA,MISC_RANK_FT_PCT,MISC_RANK_OREB,MISC_RANK_DREB,MISC_RANK_REB,MISC_RANK_AST,MISC_RANK_STL,MISC_RANK_BLK,MISC_RANK_TOV,MISC_RANK_PTS,MISC_RANK_EFF,PLAYER_NAME
77115,1974,00,1610612762,NOJ,22.0,76,,1731.0,370,776,0.477,,,,147,189,0.778,140,226,366,66,41,15,,217,887,1952-10-05T00:00:00,USA,6-8,210,1974,2,28,103,61,62,33.0,,,,74,79,54.0,61,80,71,162,131,112,,60,1,Aaron James
77115,1975,00,1610612762,NOJ,23.0,75,,1346.0,262,594,0.441,,,,153,204,0.75,93,156,249,59,33,6,,172,677,1952-10-05T00:00:00,USA,6-8,210,1974,2,28,128,105,101,,,,,82,82,64.0,96,115,114,159,137,169,,99,1,Aaron James
77115,1976,00,1610612762,NOJ,24.0,52,,1059.0,238,486,0.49,,,,89,114,0.781,56,130,186,55,20,5,,127,565,1952-10-05T00:00:00,USA,6-8,210,1974,2,28,189,138,150,,,,,166,172,,182,162,177,207,214,218,,145,1,Aaron James
77115,1977,00,1610612762,NOJ,25.0,80,,2118.0,428,861,0.497,,,,117,157,0.745,163,258,421,112,36,22,130.0,254,973,1952-10-05T00:00:00,USA,6-8,210,1974,2,28,88,64,70,33.0,,,,131,134,,65,73,70,151,184,118,128.0,78,99,Aaron James
77115,1978,00,1610612762,NOJ,26.0,73,,1417.0,311,630,0.494,,,,105,140,0.75,97,151,248,78,28,21,111.0,202,727,1952-10-05T00:00:00,USA,6-8,210,1974,2,28,156,114,115,57.0,,,,145,146,,120,133,126,186,198,123,142.0,121,158,Aaron James
