PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_BIRTHDATE,PLAYER_COUNTRY,PLAYER_HEIGHT,PLAYER_WEIGHT,PLAYER_DRAFT_YEAR,PLAYER_DRAFT_ROUND,PLAYER_DRAFT_NUMBER,MISC_RANK_MIN,MISC_RANK_FGM,MISC_RANK_FGA,MISC_RANK_FG_PCT,MISC_RANK_FG3M,MISC_RANK_FG3A,MISC_RANK_FG3_PCT,MISC_RANK_FTM,MISC_RANK_FTA,MISC_RANK_FT_PCT,MISC_RANK_OREB,MISC_RANK_DREB,MISC_RANK_REB,MISC_RANK_AST,MISC_RANK_STL,MISC_RANK_BLK,MISC_RANK_TOV,MISC_RANK_PTS,MISC_RANK_EFF,PLAYER_NAME
1569,1997,00,1610612746,LAC,22.0,58,1,740.0,93,207,0.449,0,0,0.0,46,77,0.597,63,105,168,19,12,81,38,73,232,1976-04-03T00:00:00,USA,7-3,212,Undrafted,Undrafted,Undrafted,277,269,274,,274,366,,267,251,,179,241,217,332,331,37,286,279,262,Keith Closs
1569,1998,00,1610612746,LAC,23.0,15,0,87.0,12,23,0.522,0,1,0.0,8,10,0.8,5,20,25,0,3,9,6,14,32,1976-04-03T00:00:00,USA,7-3,212,Undrafted,Undrafted,Undrafted,372,359,369,,255,288,,340,355,,357,336,342,408,358,204,371,360,350,Keith Closs
1569,1999,00,1610612746,LAC,24.0,57,6,820.0,96,197,0.487,0,3,0.0,46,78,0.59,65,114,179,25,13,73,34,80,238,1976-04-03T00:00:00,USA,7-3,212,Undrafted,Undrafted,Undrafted,268,272,282,,281,283,,260,236,,161,241,216,319,318,44,291,278,250,Keith Closs
