,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,72.34,73.2031,71.89,72.7,2356405,72.34,73.2031,71.89,72.7,2356405,0.0,1.0
1,2015-01-05,71.98,72.43,71.57,72.21,2405286,71.98,72.43,71.57,72.21,2405286,0.0,1.0
2,2015-01-06,70.53,72.1,69.88,71.95,2895356,70.53,72.1,69.88,71.95,2895356,0.0,1.0
3,2015-01-07,71.11,71.29,70.42,70.77,2378276,71.11,71.29,70.42,70.77,2378276,0.0,1.0
4,2015-01-08,72.915,73.06,71.31,71.4,2624237,72.915,73.06,71.31,71.4,2624237,0.0,1.0
5,2015-01-09,71.84,73.13,71.63,72.89,1701961,71.84,73.13,71.63,72.89,1701961,0.0,1.0
6,2015-01-12,71.12,72.26,70.75,72.13,1337867,71.12,72.26,70.75,72.13,1337867,0.0,1.0
7,2015-01-13,70.59,72.96,69.95,71.95,2103821,70.59,72.96,69.95,71.95,2103821,0.0,1.0
8,2015-01-14,69.99,70.4,68.98,69.88,1927063,69.99,70.4,68.98,69.88,1927063,0.0,1.0
9,2015-01-15,70.29,71.75,70.16,71.71,2839158,70.29,71.75,70.16,71.71,2839158,0.0,1.0
10,2015-01-16,71.73,71.85,70.03,70.03,2375295,71.73,71.85,70.03,70.03,2375295,0.0,1.0
11,2015-01-20,71.49,71.99,70.58,71.79,1612038,71.49,71.99,70.58,71.79,1612038,0.0,1.0
12,2015-01-21,71.54,71.89,70.37,71.16,1787889,71.54,71.89,70.37,71.16,1787889,0.0,1.0
13,2015-01-22,73.48,73.65,70.9,71.9,2178508,73.48,73.65,70.9,71.9,2178508,0.0,1.0
14,2015-01-23,74.06,74.4,73.06,73.44,1851700,74.06,74.4,73.06,73.44,1851700,0.0,1.0
15,2015-01-26,72.74,73.15,71.68,72.61,3593663,72.74,73.15,71.68,72.61,3593663,0.0,1.0
16,2015-01-27,71.46,72.36,71.06,71.71,1798640,71.46,72.36,71.06,71.71,1798640,0.0,1.0
17,2015-01-28,70.25,71.84,70.07,71.54,2281065,70.25,71.84,70.07,71.54,2281065,0.0,1.0
18,2015-01-29,71.64,71.82,69.78,70.03,2538051,71.64,71.82,69.78,70.03,2538051,0.0,1.0
19,2015-01-30,70.13,71.6699,70.06,71.32,2331834,70.13,71.6699,70.06,71.32,2331834,0.0,1.0
20,2015-02-02,71.11,71.2,69.04,70.44,2381935,71.11,71.2,69.04,70.44,2381935,0.0,1.0
21,2015-02-03,71.92,71.97,71.0,71.54,1555876,71.92,71.97,71.0,71.54,1555876,0.0,1.0
22,2015-02-04,72.28,72.62,71.78,71.79,2165414,72.28,72.62,71.78,71.79,2165414,0.0,1.0
23,2015-02-05,73.1,73.18,72.32,72.47,1438782,73.1,73.18,72.32,72.47,1438782,0.0,1.0
24,2015-02-06,72.54,73.62,72.24,73.18,1367371,72.54,73.62,72.24,73.18,1367371,0.0,1.0
25,2015-02-09,72.33,72.98,72.04,72.09,1628899,72.33,72.98,72.04,72.09,1628899,0.0,1.0
26,2015-02-10,72.76,73.19,72.11,72.94,1696213,72.76,73.19,72.11,72.94,1696213,0.0,1.0
27,2015-02-11,73.01,73.14,72.35,72.78,1600855,73.01,73.14,72.35,72.78,1600855,0.0,1.0
28,2015-02-12,74.59,74.755,73.31,73.6,2243474,74.59,74.755,73.31,73.6,2243474,0.0,1.0
29,2015-02-13,76.51,76.62,74.77,74.98,3819312,76.51,76.62,74.77,74.98,3819312,0.0,1.0
30,2015-02-17,77.13,77.22,76.31,76.67,1986617,77.13,77.22,76.31,76.67,1986617,0.0,1.0
31,2015-02-18,77.73,77.9975,76.8,77.02,1683362,77.73,77.9975,76.8,77.02,1683362,0.0,1.0
32,2015-02-19,77.73,77.94,77.2,77.42,1556077,77.73,77.94,77.2,77.42,1556077,0.0,1.0
33,2015-02-20,78.55,78.56,77.2,77.76,1626881,78.55,78.56,77.2,77.76,1626881,0.0,1.0
34,2015-02-23,78.1,78.69,77.79,78.65,1455823,78.1,78.69,77.79,78.65,1455823,0.0,1.0
35,2015-02-24,77.68,78.03,77.08,78.03,1954329,77.68,78.03,77.08,78.03,1954329,0.0,1.0
36,2015-02-25,78.07,78.44,77.475,77.76,1256415,78.07,78.44,77.475,77.76,1256415,0.0,1.0
37,2015-02-26,78.96,79.07,78.02,78.32,1545990,78.96,79.07,78.02,78.32,1545990,0.0,1.0
38,2015-02-27,79.1,80.3,78.93,79.24,3115789,79.1,80.3,78.93,79.24,3115789,0.0,1.0
39,2015-03-02,79.79,79.79,78.715,79.14,1497669,79.79,79.79,78.715,79.14,1497669,0.0,1.0
40,2015-03-03,78.99,79.99,78.97,79.63,1617017,78.99,79.99,78.97,79.63,1617017,0.0,1.0
41,2015-03-04,77.63,78.74,77.13,78.71,2393581,77.63,78.74,77.13,78.71,2393581,0.0,1.0
42,2015-03-05,78.62,78.71,77.3,77.6,1850110,78.62,78.71,77.3,77.6,1850110,0.0,1.0
43,2015-03-06,77.55,78.5,77.05,78.19,2537112,77.55,78.5,77.05,78.19,2537112,0.0,1.0
44,2015-03-09,77.93,78.24,77.43,77.76,2010928,77.93,78.24,77.43,77.76,2010928,0.0,1.0
45,2015-03-10,76.005,77.29,75.99,77.25,2622028,76.005,77.29,75.99,77.25,2622028,0.0,1.0
46,2015-03-11,76.01,76.78,75.68,75.91,1692240,76.01,76.78,75.68,75.91,1692240,0.0,1.0
